Respuesta,"Enviado el:",Institución,Departamento,Asignatura,Grupo,ID,"Nombre completo","Documento de identidad",Completado,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13->Instagram,Q13->Tiktok,Q13->Facebook,Q13->BeReal,Q13->X,Q13->Bluesky,Q13->Threads,Q13->Otra,Q13->Ninguna,Q14,Q15,Q16
33689,"17/02/2025 10:00:58",,,"Inferencia Estadística (2024-25,  Todos los grupos)",,,Anónima11,,y,21,70,176,"1 : Masculino",2,5,,1,9,5,3,2,0,0,0,0,0,0,0,0,1,10,"1 : Empresa","4 : Moderado"
33682,"17/02/2025 09:25:27",,,"Inferencia Estadística (2024-25,  Todos los grupos)",,,Anónima12,,y,21,83,175,"1 : Masculino",2,,,1,5,7,5,7,1,0,0,0,0,0,0,0,0,2,"3 : Profesor (Instituto, primaria, etc.)","4 : Moderado"
33730,"18/02/2025 10:00:49",,,"Inferencia Estadística (2024-25,  Todos los grupos)",,,Anónima13,,y,21,68.00,164.00,"2 : Femenino",2,42,,1,7.00,8.00,6.00,210.00,1,0,0,0,1,0,0,0,0,60.00,"1 : Empresa","4 : Moderado"
33745,"18/02/2025 19:28:08",,,"Inferencia Estadística (2024-25,  Todos los grupos)",,,Anónima14,,y,21,41,152,"2 : Femenino",0,35,,1,5,7,2,180,1,0,0,0,0,0,0,0,0,90,"1 : Empresa","4 : Moderado"
33728,"18/02/2025 09:31:12",,,"Inferencia Estadística (2024-25,  Todos los grupos)",,,Anónima15,,y,22,,173,"2 : Femenino",1,28,,1,7,7,6,300,0,1,0,0,0,0,0,0,0,90,"1 : Empresa","4 : Moderado"
33734,"18/02/2025 10:46:36",,,"Inferencia Estadística (2024-25,  Todos los grupos)",,,Anónima16,,y,22,62,171,"1 : Masculino",1,16,8.8,1,7,10,9,3,1,0,0,0,0,0,0,0,0,1,"1 : Empresa","4 : Moderado"
33683,"17/02/2025 09:33:04",,,"Inferencia Estadística (2024-25,  Todos los grupos)",,,Anónima17,,y,21,85,172,"1 : Masculino",1,1,,1,5,5,6,180,1,1,0,0,0,0,0,0,0,120,"3 : Profesor (Instituto, primaria, etc.)","4 : Moderado"
33695,"17/02/2025 11:06:42",,,"Inferencia Estadística (2024-25,  Todos los grupos)",,,Anónima18,,y,21,70,170,"1 : Masculino",3,10,,1,5,9,8,4,1,0,0,0,0,0,0,0,0,2,"1 : Empresa","4 : Moderado"
33691,"17/02/2025 10:02:03",,,"Inferencia Estadística (2024-25,  Todos los grupos)",,,Anónima19,,y,21,50,160,"1 : Masculino",0,5,8.7,1,8,8.5,3,100,1,0,0,0,0,0,0,0,0,30,"5 : Otro","4 : Moderado"
33690,"17/02/2025 10:01:21",,,"Inferencia Estadística (2024-25,  Todos los grupos)",,,Anónima20,,y,21,70,180,"1 : Masculino",1,1,8.05,1,9,10,7,90,0,0,0,0,0,0,0,0,1,0,"2 : Universidad","4 : Moderado"
33697,"17/02/2025 13:31:31",,,"Inferencia Estadística (2024-25,  Todos los grupos)",,,Anónima21,,y,21,83,187,"1 : Masculino",2,9,8,1,7,9,7,3,1,0,0,0,0,0,0,0,0,1,"1 : Empresa","5 : Mucho"
33684,"17/02/2025 09:41:02",,,"Inferencia Estadística (2024-25,  Todos los grupos)",,,Anónima22,,y,22,80,182,"1 : Masculino",2,,,1,7,7,5,120,1,0,0,0,0,0,0,0,0,45,"1 : Empresa","4 : Moderado"
33749,"19/02/2025 00:34:39",,,"Inferencia Estadística (2024-25,  Todos los grupos)",,,Anónima23,,y,21,70,184,"1 : Masculino",2,11,,1,7,8,8,300,1,0,0,0,1,0,0,0,0,100,"2 : Universidad","4 : Moderado"
33742,"18/02/2025 16:23:57",,,"Inferencia Estadística (2024-25,  Todos los grupos)",,,Anónima24,,y,22,66,170,"1 : Masculino",1,13.7,7.64,1,7,9,7,150,1,0,0,0,1,0,0,0,0,88,"1 : Empresa","4 : Moderado"
33694,"17/02/2025 10:58:59",,,"Inferencia Estadística (2024-25,  Todos los grupos)",,,Anónima25,,y,21,56,170,"1 : Masculino",1,7,6,1,8,5,5,60,1,1,0,0,0,0,0,0,0,30,,"4 : Moderado"
33726,"18/02/2025 09:16:01",,,"Inferencia Estadística (2024-25,  Todos los grupos)",,,Anónima26,,y,22,60,180,"2 : Femenino",0,35,7,1,6,6,5,120,0,0,0,0,0,0,0,1,0,75,"1 : Empresa","5 : Mucho"
33692,"17/02/2025 10:04:28",,,"Inferencia Estadística (2024-25,  Todos los grupos)",,,Anónima27,,y,21,102,180,"1 : Masculino",1,35,8.07,1,10,10,0,180,1,0,0,0,0,0,0,0,0,180,"1 : Empresa","4 : Moderado"
33761,"19/02/2025 15:03:45",,,"Inferencia Estadística (2024-25,  Todos los grupos)",,,Anónima28,,y,20,62,170,"1 : Masculino",1,13,7.65,1,8,8,8,210,0,0,0,0,1,0,0,0,0,40,"1 : Empresa","5 : Mucho"
33719,"17/02/2025 20:24:49",,,"Inferencia Estadística (2024-25,  Todos los grupos)",,,Anónima29,,y,21,75,179,"1 : Masculino",1,5,8.74,1,9,10,8,180,1,0,0,0,0,0,0,0,0,90,"1 : Empresa","5 : Mucho"
33693,"17/02/2025 10:43:00",,,"Inferencia Estadística (2024-25,  Todos los grupos)",,,Anónima30,,y,20,54,168,"2 : Femenino",2,,,1,4,11,7,100,1,0,0,0,0,0,0,0,0,50,"1 : Empresa","3 : Poco"
33715,"17/02/2025 15:55:17",,,"Inferencia Estadística (2024-25,  Todos los grupos)",,,Anónima31,,y,21,57,158,"2 : Femenino",1,0.8,7.73,1,9,10,8,210,0,0,0,0,0,0,0,1,0,30,"1 : Empresa","4 : Moderado"
33724,"18/02/2025 09:10:52",,,"Inferencia Estadística (2024-25,  Todos los grupos)",,,Anónima32,,y,20,61,,"2 : Femenino",1,15,,1,8,7,7,180,0,1,0,0,0,0,0,0,0,70,"1 : Empresa","4 : Moderado"
33714,"17/02/2025 15:42:33",,,"Inferencia Estadística (2024-25,  Todos los grupos)",,,Anónima33,,y,20,69,172,"1 : Masculino",2,,8.76,1,10,10,8,60,0,0,0,0,0,0,0,1,0,45,"2 : Universidad","4 : Moderado"
33720,"17/02/2025 21:17:18",,,"Inferencia Estadística (2024-25,  Todos los grupos)",,,Anónima34,,y,20,64,,"2 : Femenino",1,18,,1,6,9,6,120,0,1,0,0,0,0,0,0,0,45,"1 : Empresa","5 : Mucho"
33750,"19/02/2025 08:41:50",,,"Inferencia Estadística (2024-25,  Todos los grupos)",,,Anónima35,,y,20,50,162,"2 : Femenino",5,,,0,,7,5,180,1,0,0,0,0,0,0,0,0,45,"1 : Empresa","4 : Moderado"
33716,"17/02/2025 16:46:13",,,"Inferencia Estadística (2024-25,  Todos los grupos)",,,Anónima36,,y,21,68,166,"2 : Femenino",1,3.22,6.43,1,6,8,6,75,0,1,0,0,0,0,0,0,0,20,"3 : Profesor (Instituto, primaria, etc.)","3 : Poco"
33679,"17/02/2025 09:21:16",,,"Inferencia Estadística (2024-25,  Todos los grupos)",,,Anónima37,,y,20,60,1.71,"2 : Femenino",0,20,,1,7,8,7,180,1,1,0,1,0,0,0,0,0,30,"3 : Profesor (Instituto, primaria, etc.)","4 : Moderado"
33764,"20/02/2025 07:40:23",,,"Inferencia Estadística (2024-25,  Todos los grupos)",,,Anónima38,,y,20,70,179,"1 : Masculino",1,4.5,7.23,1,5,8,8,120,0,0,0,0,0,0,0,1,0,60,"1 : Empresa","4 : Moderado"
33696,"17/02/2025 12:38:14",,,"Inferencia Estadística (2024-25,  Todos los grupos)",,,Anónima39,,y,20,50,159,"2 : Femenino",5,3,7.19,1,8,6,5,3,0,0,0,0,0,0,0,1,0,2,"3 : Profesor (Instituto, primaria, etc.)","4 : Moderado"
33713,"17/02/2025 14:34:52",,,"Inferencia Estadística (2024-25,  Todos los grupos)",,,Anónima40,,y,20,75,193,"1 : Masculino",1,20,8,1,9,8,9,100,0,0,0,0,0,0,0,0,1,100,"1 : Empresa","3 : Poco"
33685,"17/02/2025 09:46:43",,,"Inferencia Estadística (2024-25,  Todos los grupos)",,,Anónima41,,y,19,74,173,"1 : Masculino",2,20,6,1,7,5,7,200,1,0,0,0,0,0,0,0,0,60,"3 : Profesor (Instituto, primaria, etc.)","4 : Moderado"
33744,"18/02/2025 17:31:06",,,"Inferencia Estadística (2024-25,  Todos los grupos)",,,Anónima42,,y,20,65,180,"1 : Masculino",0,50,7,1,6,8,8,120,1,0,0,0,0,0,0,0,0,45,"2 : Universidad","3 : Poco"
33755,"19/02/2025 12:44:17",,,"Inferencia Estadística (2024-25,  Todos los grupos)",,,Anónima43,,y,20,82,180,"1 : Masculino",1,30,9.5,1,9,9,8,120,0,0,0,0,1,0,0,0,0,10,"1 : Empresa","5 : Mucho"
33722,"17/02/2025 23:29:33",,,"Inferencia Estadística (2024-25,  Todos los grupos)",,,Anónima44,,y,21,60,172,"2 : Femenino",2,,,0,,8,6,180,0,1,0,0,0,0,0,0,0,100,"1 : Empresa","4 : Moderado"
33680,"17/02/2025 09:21:17",,,"Inferencia Estadística (2024-25,  Todos los grupos)",,,Anónima45,,y,20,77,,"1 : Masculino",1,15,,1,,11,8,180,0,1,0,0,0,0,0,0,0,45,,"4 : Moderado"
33754,"19/02/2025 12:36:33",,,"Inferencia Estadística (2024-25,  Todos los grupos)",,,Anónima46,,y,20,78,183,"1 : Masculino",1,,,0,,7,8,240,0,1,0,0,0,0,0,0,0,180,"1 : Empresa","4 : Moderado"
33743,"18/02/2025 16:35:36",,,"Inferencia Estadística (2024-25,  Todos los grupos)",,,Anónima47,,y,20,55,171,"2 : Femenino",1,16,7,1,6,7,9,120,1,0,0,0,0,0,0,0,0,45,"1 : Empresa","4 : Moderado"
33757,"19/02/2025 13:02:08",,,"Inferencia Estadística (2024-25,  Todos los grupos)",,,Anónima48,,y,20,47,,"2 : Femenino",1,,,1,,5,4,260,0,1,0,0,1,0,0,0,0,180,"1 : Empresa","4 : Moderado"
33677,"17/02/2025 09:20:11",,,"Inferencia Estadística (2024-25,  Todos los grupos)",,,Anónima49,,y,20,55,173,"1 : Masculino",1,32,7,1,7,8,9,3,0,0,0,0,0,0,0,1,0,1,"2 : Universidad","4 : Moderado"
33741,"18/02/2025 15:25:37",,,"Inferencia Estadística (2024-25,  Todos los grupos)",,,Anónima50,,y,20,79,165,"2 : Femenino",1,5.5,6.3,1,6,7,7,3,0,1,0,0,0,0,0,0,0,1.5,"1 : Empresa","4 : Moderado"
33751,"19/02/2025 08:50:07",,,"Inferencia Estadística (2024-25,  Todos los grupos)",,,Anónima51,,y,20,68,180,"1 : Masculino",1,2,,1,7,8,10,90,1,0,0,0,0,0,0,0,0,60,"2 : Universidad","4 : Moderado"
33678,"17/02/2025 09:21:04",,,"Inferencia Estadística (2024-25,  Todos los grupos)",,,Anónima52,,y,20,100,185,"1 : Masculino",3,1,5.4,0,,7,4,120,0,0,0,0,0,0,0,1,0,100,"4 : Oposición","4 : Moderado"
33717,"17/02/2025 19:09:20",,,"Inferencia Estadística (2024-25,  Todos los grupos)",,,Anónima53,,y,20,64,181,"1 : Masculino",1,1,7,1,7,9,8,230,1,1,0,0,1,0,0,0,0,30,"1 : Empresa","5 : Mucho"
33735,"18/02/2025 11:28:12",,,"Inferencia Estadística (2024-25,  Todos los grupos)",,,Anónima54,,y,21,75,180,"1 : Masculino",1,1,6,1,7,7,8,180,0,1,0,0,0,0,0,0,0,60,"1 : Empresa","4 : Moderado"
33687,"17/02/2025 09:49:12",,,"Inferencia Estadística (2024-25,  Todos los grupos)",,,Anónima55,,y,20,67,178,"1 : Masculino",1,35,,1,5,7,7,480,1,0,0,0,0,0,0,0,0,210,"1 : Empresa","4 : Moderado"
33725,"18/02/2025 09:11:58",,,"Inferencia Estadística (2024-25,  Todos los grupos)",,,Anónima56,,y,20,74,171,"1 : Masculino",1,15,,1,6,7,8,300,0,1,0,0,0,0,0,0,0,90,"3 : Profesor (Instituto, primaria, etc.)","4 : Moderado"
33729,"18/02/2025 09:32:12",,,"Inferencia Estadística (2024-25,  Todos los grupos)",,,Anónima57,,y,21,78,174,"1 : Masculino",1,4,,1,,6,4,240,1,0,0,0,0,0,0,0,0,120,"1 : Empresa","5 : Mucho"
33748,"18/02/2025 22:04:17",,,"Inferencia Estadística (2024-25,  Todos los grupos)",,,Anónima58,,y,21,60,169,"2 : Femenino",1,20,,1,5,,7,120,1,0,0,0,0,0,0,0,0,60,"1 : Empresa","4 : Moderado"
33758,"19/02/2025 13:06:59",,,"Inferencia Estadística (2024-25,  Todos los grupos)",,,Anónima59,,y,20,70,175,"1 : Masculino",2,8,,1,1,6,5,270,1,0,0,0,0,0,0,0,0,120,"1 : Empresa","4 : Moderado"
33733,"18/02/2025 10:43:42",,,"Inferencia Estadística (2024-25,  Todos los grupos)",,,Anónima60,,y,20,67,1.82,,0,50,6.3,1,7,7,6,30,0,0,0,0,0,0,0,1,0,20,"3 : Profesor (Instituto, primaria, etc.)","4 : Moderado"
33688,"17/02/2025 09:49:40",,,"Inferencia Estadística (2024-25,  Todos los grupos)",,,Anónima61,,y,25,80,177,"1 : Masculino",2,3,6,1,7,7,7,90,0,1,0,0,0,0,0,0,0,60,"1 : Empresa","4 : Moderado"
33686,"17/02/2025 09:47:58",,,"Inferencia Estadística (2024-25,  Todos los grupos)",,,Anónima62,,y,20,71,158,"2 : Femenino",2,,,1,,,7,240,0,1,0,0,0,0,0,0,0,60,"4 : Oposición","5 : Mucho"
